ttl	z_score	delta	avg_rtt	std_rtt	ips
1	-0.070262086229090845	20.10461688041687	20.10461688041687	16.047664293631598	192.168.0.1
5	-0.18631924504932046	14.345763545287284	34.450380425704154	13.312308137344132	200.89.165.1
6	-0.35055988170669738	6.1960057208412564	40.64638614654541	11.763190404913148	200.89.165.250
7	-0.47542689570203539	0	32.304983872633713	12.03982038475225	190.216.88.33
8	3.6404545111275413	204.23347949981689	244.8798656463623	66.762529311902668	67.17.94.249
10	-0.47542689570203539	0	219.73812580108643	36.114391016027255	4.69.207.29
11	-0.47542689570203539	0	237.57669925689697	57.305329859119524	4.68.127.54
12	0.4448377523508113	45.664301896706604	290.54416754306891	38.878053844557002	129.250.3.40
13	-0.47542689570203539	0	254.09771234561236	52.835749475581942	129.250.4.88
14	-0.47542689570203539	0	279.10119295120239	41.541896951488582	129.250.2.219
15	-0.44715667610344428	1.4027919524755248	291.94695949554443	49.241698539037252	129.250.7.69
16	-0.47542689570203539	0	281.00435137748718	44.331158998014345	129.250.3.17
17	-0.28080553527878327	9.6572747597327862	301.60423425527722	61.332152923311384	129.250.3.234
18	-0.055999116184648499	20.81235738900989	322.41659164428711	58.646521742262301	204.1.253.166
19	1.6862763221161241	107.26552254114398	429.68211418543109	67.670958769216725	202.158.194.172
20	-0.47542689570203539	0	428.93311916253504	49.295806972398182	113.197.15.68
21	-0.47542689570203539	0	405.93265875791894	40.623698563049587	113.197.15.66
22	0.28217568161810835	37.592873834357476	467.27498801978857	67.280420956716924	113.197.15.152
23	-0.47542689570203539	0	454.42954036924573	50.159264251314582	138.44.5.47
26	-0.38379966534228144	4.5466198424114737	471.82160786220004	81.503418350847767	129.78.5.8
